ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,IP_padding,IP_add_count,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Label
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,60,1,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,56,1,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,60,0,Unknown
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,Unknown
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,60,1,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,56,1,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,60,0,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,60,1,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,56,1,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,60,0,Unknown
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,Unknown
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,60,1,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,56,1,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,60,0,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,60,1,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,56,1,Unknown
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,60,0,Unknown
